location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",31.483874956766766,"µg/m³","2025-08-25T23:00:00Z","2025-08-26T05:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm1",32.532166163126625,"µg/m³","2025-08-26T00:00:00Z","2025-08-26T06:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",38.26879119873047,"µg/m³","2025-08-25T01:00:00Z","2025-08-25T07:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",24.063999970753986,"µg/m³","2025-08-25T02:00:00Z","2025-08-25T08:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",23.73633337020874,"µg/m³","2025-08-25T03:00:00Z","2025-08-25T09:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",29.55970843633016,"µg/m³","2025-08-25T04:00:00Z","2025-08-25T10:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",43.693833351135254,"µg/m³","2025-08-25T05:00:00Z","2025-08-25T11:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",47.990166664123535,"µg/m³","2025-08-25T06:00:00Z","2025-08-25T12:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",36.58558336893717,"µg/m³","2025-08-25T07:00:00Z","2025-08-25T13:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
3194367,"Dept. of Public Health and Informatics, Jahangirnagar University","pm25",31.166833718617756,"µg/m³","2025-08-25T08:00:00Z","2025-08-25T14:00:00+06:00","Asia/Dhaka",23.888280501941725,90.26536993068466,,,,"Unknown Person","AirGradient"
